beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Ménage à Trois","Sori Brewing","IPA - Triple",10.1,102,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,4.25,"2019-07-04 17:00:52",https://untappd.com/c/772114626,https://untappd.com/beer/1477703,https://untappd.com/brewery/58973,Estonia,Tallinn,Harjumaa,,"Craft Beer Helsinki 2019",Draft,772114626,1477703,58973,https://untappd.s3.amazonaws.com/photos/2019_07_04/854e248c801de6eabeb973c59c202134_raw.jpg,3.84,3.83,,0,0
"Smoking Nectarines","CoolHead Brew",Lichtenhainer,5,0,"Savu sour, ei mulle","Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,2.5,"2019-07-04 17:12:46",https://untappd.com/c/772116432,https://untappd.com/beer/3301756,https://untappd.com/brewery/258054,Finland,Tuusula,Uusimaa,,"Craft Beer Helsinki 2019",Draft,772116432,3301756,258054,https://untappd.s3.amazonaws.com/photos/2019_07_04/773640ed8fdac9ce9e512325459db322_raw.jpg,3.28,3.35,,0,0
"Cosmic Crush - Peach",OverWorks,"Sour - Fruited",5.6,10,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 17:20:19",https://untappd.com/c/772117662,https://untappd.com/beer/2812820,https://untappd.com/brewery/394242,Scotland,Ellon,Aberdeenshire,,"Craft Beer Helsinki 2019",Draft,772117662,2812820,394242,https://untappd.s3.amazonaws.com/photos/2019_07_04/6cc36fd4c30b85e884ac4fa47422c900_raw.jpg,3.73,3.72,,0,0
"Cosmic Island","Stone Brewing Berlin","IPA - New England",7,30,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,4,"2019-07-04 17:30:36",https://untappd.com/c/772119496,https://untappd.com/beer/3158937,https://untappd.com/brewery/255911,Germany,,,,"Craft Beer Helsinki 2019",Draft,772119496,3158937,255911,https://untappd.s3.amazonaws.com/photos/2019_07_04/3920fd34d5f49bea0e63d521e5ac7986_raw.jpg,3.65,3.65,,0,0
"American Beauty","Uiltje Brewing Company","IPA - Brut",6.5,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 17:37:10",https://untappd.com/c/772120822,https://untappd.com/beer/3279192,https://untappd.com/brewery/32280,Netherlands,Haarlem,Noord-Holland,,"Craft Beer Helsinki 2019",Draft,772120822,3279192,32280,https://untappd.s3.amazonaws.com/photos/2019_07_04/3a3043264f59785f38b0b74ce81fcb7e_raw.jpg,3.61,3.61,,0,0
"Hazy Hoodz 4","Olarin Panimo","IPA - New England",6.7,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 17:53:32",https://untappd.com/c/772124139,https://untappd.com/beer/3289750,https://untappd.com/brewery/239768,Finland,Espoo,Etelä-Suomi,,"Craft Beer Helsinki 2019",Draft,772124139,3289750,239768,https://untappd.s3.amazonaws.com/photos/2019_07_04/da07b26551e8ef49ae1ef8937cfd2829_raw.jpg,3.76,3.72,,0,0
"Headbanger Facerip",Cervisiam,"Sour - Fruited Gose",6.5,5,"Aah, tiukka sour, erittäin toimiva","Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,4,"2019-07-04 18:07:28",https://untappd.com/c/772127297,https://untappd.com/beer/3169940,https://untappd.com/brewery/197724,Norway,Oslo,Oslo,,"Craft Beer Helsinki 2019",Draft,772127297,3169940,197724,https://untappd.s3.amazonaws.com/photos/2019_07_04/8d0190af2461a66e89ccb68bc9f98a74_raw.jpg,3.58,3.59,,1,0
"Gamma Gulp!",Cervisiam,"Pale Ale - New England",5.5,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,3.75,"2019-07-04 18:11:24",https://untappd.com/c/772128320,https://untappd.com/beer/3145781,https://untappd.com/brewery/197724,Norway,Oslo,Oslo,,"Craft Beer Helsinki 2019",Draft,772128320,3145781,197724,https://untappd.s3.amazonaws.com/photos/2019_07_04/335658f08e2728cef360551f5d11e701_raw.jpg,3.61,3.61,,0,0
"Desert Berliner","Green Street Brewery","Sour - Fruited Berliner Weisse",4,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,4,"2019-07-04 18:40:01",https://untappd.com/c/772136653,https://untappd.com/beer/2832356,https://untappd.com/brewery/209623,Russia,Moscow,Москва,,"Craft Beer Helsinki 2019",Draft,772136653,2832356,209623,https://untappd.s3.amazonaws.com/photos/2019_07_04/78d1085e66479b809671e921c28f9e52_raw.jpg,3.84,3.81,,0,0
"Botanic Project","Green Street Brewery","Sour - Gose",4,0,,"Craft Beer Helsinki 2019",Helsinki,Uusimaa,Suomi,60.1712,24.9449,4,"2019-07-04 18:41:23",https://untappd.com/c/772137105,https://untappd.com/beer/3255198,https://untappd.com/brewery/209623,Russia,Moscow,Москва,,"Craft Beer Helsinki 2019",Draft,772137105,3255198,209623,https://untappd.s3.amazonaws.com/photos/2019_07_04/cd2cee79372897099577977e268523e4_raw.jpg,3.83,3.77,,0,0
